model,algorithm,games,wins_X,wins_O,draws
small-4x4-e20-b128-q-sp50.pt,Q,50,1,2,47
small-4x4-e20-b128-sarsa-sp50.pt,SARSA,50,5,1,44
small-4x4-e20-b128-q-sp100.pt,Q,100,8,7,85
small-4x4-e20-b128-sarsa-sp100.pt,SARSA,100,15,11,74
small-4x4-e20-b256-q-sp10.pt,Q,10,0,3,7
small-4x4-e20-b256-sarsa-sp10.pt,SARSA,10,0,1,9
small-4x4-e20-b256-q-sp50.pt,Q,50,1,8,41
small-4x4-e20-b256-sarsa-sp50.pt,SARSA,50,0,10,40
small-4x4-e20-b256-q-sp100.pt,Q,100,13,16,71
small-4x4-e20-b256-sarsa-sp100.pt,SARSA,100,15,14,71
small-4x4-e20-b64-q-sp10.pt,Q,10,0,2,8
small-4x4-e20-b64-sarsa-sp10.pt,SARSA,10,1,5,4
small-4x4-e20-b64-q-sp50.pt,Q,50,5,8,37
small-4x4-e20-b64-sarsa-sp50.pt,SARSA,50,3,11,36
small-4x4-e20-b64-q-sp100.pt,Q,100,4,24,72
small-4x4-e20-b64-sarsa-sp100.pt,SARSA,100,5,21,74
small-4x4-e50-b128-q-sp10.pt,Q,10,1,6,3
small-4x4-e50-b128-sarsa-sp10.pt,SARSA,10,0,0,10
small-4x4-e50-b128-q-sp50.pt,Q,50,1,4,45
small-4x4-e50-b128-sarsa-sp50.pt,SARSA,50,1,7,42
small-4x4-e50-b128-q-sp100.pt,Q,100,11,26,63
small-4x4-e50-b128-sarsa-sp100.pt,SARSA,100,20,17,63
small-4x4-e50-b256-q-sp10.pt,Q,10,0,1,9
small-4x4-e50-b256-sarsa-sp10.pt,SARSA,10,0,0,10
small-4x4-e50-b256-q-sp50.pt,Q,50,2,7,41
small-4x4-e50-b256-sarsa-sp50.pt,SARSA,50,1,3,46
small-4x4-e50-b256-q-sp100.pt,Q,100,3,11,86
small-4x4-e50-b256-sarsa-sp100.pt,SARSA,100,1,11,88
small-4x4-e50-b64-q-sp10.pt,Q,10,1,1,8
small-4x4-e50-b64-sarsa-sp10.pt,SARSA,10,0,0,10
small-4x4-e50-b64-q-sp50.pt,Q,50,3,6,41
small-4x4-e50-b64-sarsa-sp50.pt,SARSA,50,2,14,34
small-4x4-e50-b64-q-sp100.pt,Q,100,5,57,38
small-4x4-e50-b64-sarsa-sp100.pt,SARSA,100,8,43,49
small-4x4x4-e100-b128-q-sp10.pt,Q,10,5,5,0
small-4x4x4-e100-b128-sarsa-sp10.pt,SARSA,10,7,3,0
small-4x4x4-e100-b128-q-sp50.pt,Q,50,23,27,0
small-4x4x4-e100-b128-sarsa-sp50.pt,SARSA,50,30,20,0
small-4x4x4-e100-b128-q-sp100.pt,Q,100,67,33,0
small-4x4x4-e100-b128-sarsa-sp100.pt,SARSA,100,44,56,0
small-4x4x4-e100-b256-q-sp10.pt,Q,10,6,4,0
small-4x4x4-e100-b256-sarsa-sp10.pt,SARSA,10,6,4,0
small-4x4x4-e100-b256-q-sp50.pt,Q,50,25,25,0
small-4x4x4-e100-b256-sarsa-sp50.pt,SARSA,50,34,16,0
small-4x4x4-e100-b256-q-sp100.pt,Q,100,59,40,1
small-4x4x4-e100-b256-sarsa-sp100.pt,SARSA,100,41,59,0
small-4x4x4-e100-b64-q-sp10.pt,Q,10,6,4,0
small-4x4x4-e100-b64-sarsa-sp10.pt,SARSA,10,4,6,0
small-4x4x4-e100-b64-q-sp50.pt,Q,50,34,16,0
small-4x4x4-e100-b64-sarsa-sp50.pt,SARSA,50,21,28,1
small-4x4x4-e100-b64-q-sp100.pt,Q,100,49,50,1
small-4x4x4-e100-b64-sarsa-sp100.pt,SARSA,100,59,41,0
small-4x4x4-e20-b128-q-sp10.pt,Q,10,6,4,0
small-4x4x4-e20-b128-sarsa-sp10.pt,SARSA,10,3,7,0
small-4x4x4-e20-b128-q-sp50.pt,Q,50,31,19,0
small-4x4x4-e20-b128-sarsa-sp50.pt,SARSA,50,29,21,0
small-4x4x4-e20-b128-q-sp100.pt,Q,100,48,51,1
small-4x4x4-e20-b128-sarsa-sp100.pt,SARSA,100,56,44,0
small-4x4x4-e20-b256-q-sp10.pt,Q,10,3,7,0
small-4x4x4-e20-b256-sarsa-sp10.pt,SARSA,10,3,7,0
small-4x4x4-e20-b256-q-sp50.pt,Q,50,23,27,0
small-4x4x4-e20-b256-sarsa-sp50.pt,SARSA,50,22,28,0
small-4x4x4-e20-b256-q-sp100.pt,Q,100,52,47,1
small-4x4x4-e20-b256-sarsa-sp100.pt,SARSA,100,55,45,0
small-4x4x4-e20-b64-q-sp10.pt,Q,10,4,6,0
small-4x4x4-e20-b64-sarsa-sp10.pt,SARSA,10,2,8,0
small-4x4x4-e20-b64-q-sp50.pt,Q,50,21,29,0
small-4x4x4-e20-b64-sarsa-sp50.pt,SARSA,50,31,19,0
small-4x4x4-e20-b64-q-sp100.pt,Q,100,55,44,1
small-4x4x4-e20-b64-sarsa-sp100.pt,SARSA,100,41,59,0
small-4x4x4-e50-b128-q-sp10.pt,Q,10,8,2,0
small-4x4x4-e50-b128-sarsa-sp10.pt,SARSA,10,4,6,0
small-4x4x4-e50-b128-q-sp50.pt,Q,50,31,19,0
small-4x4x4-e50-b128-sarsa-sp50.pt,SARSA,50,33,17,0
small-4x4x4-e50-b128-q-sp100.pt,Q,100,54,46,0
small-4x4x4-e50-b128-sarsa-sp100.pt,SARSA,100,51,49,0
small-4x4x4-e50-b256-q-sp10.pt,Q,10,5,5,0
small-4x4x4-e50-b256-sarsa-sp10.pt,SARSA,10,7,3,0
small-4x4x4-e50-b256-q-sp50.pt,Q,50,29,21,0
small-4x4x4-e50-b256-sarsa-sp50.pt,SARSA,50,30,20,0
small-4x4x4-e50-b256-q-sp100.pt,Q,100,55,45,0
small-4x4x4-e50-b256-sarsa-sp100.pt,SARSA,100,53,47,0
small-4x4x4-e50-b64-q-sp10.pt,Q,10,4,6,0
small-4x4x4-e50-b64-sarsa-sp10.pt,SARSA,10,5,5,0
small-4x4x4-e50-b64-q-sp50.pt,Q,50,27,23,0
small-4x4x4-e50-b64-sarsa-sp50.pt,SARSA,50,23,27,0
small-4x4x4-e50-b64-q-sp100.pt,Q,100,48,52,0
small-4x4x4-e50-b64-sarsa-sp100.pt,SARSA,100,49,51,0
small-5x5-e100-b128-q-sp10.pt,Q,10,3,0,7
small-5x5-e100-b128-sarsa-sp10.pt,SARSA,10,5,1,4
small-5x5-e100-b128-q-sp50.pt,Q,50,5,3,42
small-5x5-e100-b128-sarsa-sp50.pt,SARSA,50,9,6,35
small-5x5-e100-b128-q-sp100.pt,Q,100,15,28,57
small-5x5-e100-b128-sarsa-sp100.pt,SARSA,100,5,21,74
small-5x5-e100-b256-q-sp10.pt,Q,10,4,0,6
small-5x5-e100-b256-sarsa-sp10.pt,SARSA,10,2,0,8
small-5x5-e100-b256-q-sp50.pt,Q,50,12,12,26
small-5x5-e100-b256-sarsa-sp50.pt,SARSA,50,13,11,26
small-5x5-e100-b256-q-sp100.pt,Q,100,26,28,46
small-5x5-e100-b256-sarsa-sp100.pt,SARSA,100,18,15,67
small-5x5-e100-b64-q-sp10.pt,Q,10,1,0,9
small-5x5-e100-b64-sarsa-sp10.pt,SARSA,10,2,0,8
small-5x5-e100-b64-q-sp50.pt,Q,50,4,2,44
small-5x5-e100-b64-sarsa-sp50.pt,SARSA,50,7,1,42
small-5x5-e100-b64-q-sp100.pt,Q,100,17,3,80
small-5x5-e100-b64-sarsa-sp100.pt,SARSA,100,20,2,78
small-5x5-e20-b128-q-sp10.pt,Q,10,0,0,10
small-5x5-e20-b128-sarsa-sp10.pt,SARSA,10,1,0,9
small-5x5-e20-b128-q-sp50.pt,Q,50,3,4,43
small-5x5-e20-b128-sarsa-sp50.pt,SARSA,50,14,4,32
small-5x5-e20-b128-q-sp100.pt,Q,100,29,11,60
small-5x5-e20-b128-sarsa-sp100.pt,SARSA,100,17,13,70
small-5x5-e20-b256-q-sp10.pt,Q,10,1,2,7
small-5x5-e20-b256-sarsa-sp10.pt,SARSA,10,0,1,9
small-5x5-e20-b256-q-sp50.pt,Q,50,5,1,44
small-5x5-e20-b256-sarsa-sp50.pt,SARSA,50,3,2,45
small-5x5-e20-b256-q-sp100.pt,Q,100,12,9,79
small-5x5-e20-b256-sarsa-sp100.pt,SARSA,100,26,14,60
small-5x5-e20-b64-q-sp10.pt,Q,10,0,1,9
small-5x5-e20-b64-sarsa-sp10.pt,SARSA,10,1,0,9
small-5x5-e20-b64-q-sp50.pt,Q,50,9,2,39
small-5x5-e20-b64-sarsa-sp50.pt,SARSA,50,9,7,34
small-5x5-e20-b64-q-sp100.pt,Q,100,30,11,59
small-5x5-e20-b64-sarsa-sp100.pt,SARSA,100,28,19,53
small-5x5-e50-b128-q-sp10.pt,Q,10,0,2,8
small-5x5-e50-b128-sarsa-sp10.pt,SARSA,10,1,1,8
small-5x5-e50-b128-q-sp50.pt,Q,50,14,1,35
small-5x5-e50-b128-sarsa-sp50.pt,SARSA,50,12,0,38
small-5x5-e50-b128-q-sp100.pt,Q,100,28,1,71
small-5x5-e50-b128-sarsa-sp100.pt,SARSA,100,21,3,76
small-5x5-e50-b256-q-sp10.pt,Q,10,1,1,8
small-5x5-e50-b256-sarsa-sp10.pt,SARSA,10,0,1,9
small-5x5-e50-b256-q-sp50.pt,Q,50,11,7,32
small-5x5-e50-b256-sarsa-sp50.pt,SARSA,50,7,3,40
small-5x5-e50-b256-q-sp100.pt,Q,100,21,5,74
small-5x5-e50-b256-sarsa-sp100.pt,SARSA,100,33,12,55
small-5x5-e50-b64-q-sp10.pt,Q,10,3,0,7
small-5x5-e50-b64-sarsa-sp10.pt,SARSA,10,1,1,8
small-5x5-e50-b64-q-sp50.pt,Q,50,3,2,45
small-5x5-e50-b64-sarsa-sp50.pt,SARSA,50,9,1,40
small-5x5-e50-b64-q-sp100.pt,Q,100,11,6,83
small-5x5-e50-b64-sarsa-sp100.pt,SARSA,100,18,10,72
small-5x5x5-e100-b128-q-sp10.pt,Q,10,4,6,0
small-5x5x5-e100-b128-sarsa-sp10.pt,SARSA,10,6,4,0
small-5x5x5-e100-b128-q-sp50.pt,Q,50,28,22,0
small-5x5x5-e100-b128-sarsa-sp50.pt,SARSA,50,26,24,0
small-5x5x5-e100-b128-q-sp100.pt,Q,100,49,51,0
small-5x5x5-e100-b128-sarsa-sp100.pt,SARSA,100,48,52,0
small-5x5x5-e100-b256-q-sp10.pt,Q,10,5,5,0
small-5x5x5-e100-b256-sarsa-sp10.pt,SARSA,10,8,2,0
small-5x5x5-e100-b256-q-sp50.pt,Q,50,27,23,0
small-5x5x5-e100-b256-sarsa-sp50.pt,SARSA,50,26,24,0
small-5x5x5-e100-b256-q-sp100.pt,Q,100,51,49,0
small-5x5x5-e100-b256-sarsa-sp100.pt,SARSA,100,50,49,1
small-5x5x5-e100-b64-q-sp10.pt,Q,10,5,5,0
small-5x5x5-e100-b64-sarsa-sp10.pt,SARSA,10,3,7,0
small-5x5x5-e100-b64-q-sp50.pt,Q,50,27,22,1
small-5x5x5-e100-b64-sarsa-sp50.pt,SARSA,50,25,25,0
small-5x5x5-e100-b64-q-sp100.pt,Q,100,41,59,0
small-5x5x5-e100-b64-sarsa-sp100.pt,SARSA,100,53,46,1
small-5x5x5-e20-b128-q-sp10.pt,Q,10,5,5,0
small-5x5x5-e20-b128-sarsa-sp10.pt,SARSA,10,8,2,0
small-5x5x5-e20-b128-q-sp50.pt,Q,50,25,25,0
small-5x5x5-e20-b128-sarsa-sp50.pt,SARSA,50,26,24,0
small-5x5x5-e20-b128-q-sp100.pt,Q,100,57,42,1
small-5x5x5-e20-b128-sarsa-sp100.pt,SARSA,100,52,48,0
small-5x5x5-e20-b256-q-sp10.pt,Q,10,6,4,0
small-5x5x5-e20-b256-sarsa-sp10.pt,SARSA,10,4,6,0
small-5x5x5-e20-b256-q-sp50.pt,Q,50,28,22,0
small-5x5x5-e20-b256-sarsa-sp50.pt,SARSA,50,27,23,0
small-5x5x5-e20-b256-q-sp100.pt,Q,100,53,46,1
small-5x5x5-e20-b256-sarsa-sp100.pt,SARSA,100,49,51,0
small-5x5x5-e20-b64-q-sp10.pt,Q,10,7,3,0
small-5x5x5-e20-b64-sarsa-sp10.pt,SARSA,10,7,3,0
small-5x5x5-e20-b64-q-sp50.pt,Q,50,28,22,0
small-5x5x5-e20-b64-sarsa-sp50.pt,SARSA,50,21,29,0
small-5x5x5-e20-b64-q-sp100.pt,Q,100,55,45,0
small-5x5x5-e20-b64-sarsa-sp100.pt,SARSA,100,45,54,1
small-5x5x5-e50-b128-q-sp10.pt,Q,10,3,7,0
small-5x5x5-e50-b128-sarsa-sp10.pt,SARSA,10,3,7,0
small-5x5x5-e50-b128-q-sp50.pt,Q,50,23,27,0
small-5x5x5-e50-b128-sarsa-sp50.pt,SARSA,50,24,26,0
small-5x5x5-e50-b128-q-sp100.pt,Q,100,54,46,0
small-5x5x5-e50-b128-sarsa-sp100.pt,SARSA,100,49,51,0
small-5x5x5-e50-b256-q-sp10.pt,Q,10,4,6,0
small-5x5x5-e50-b256-sarsa-sp10.pt,SARSA,10,3,7,0
small-5x5x5-e50-b256-q-sp50.pt,Q,50,22,28,0
small-5x5x5-e50-b256-sarsa-sp50.pt,SARSA,50,23,27,0
small-5x5x5-e50-b256-q-sp100.pt,Q,100,53,47,0
small-5x5x5-e50-b256-sarsa-sp100.pt,SARSA,100,51,49,0
small-5x5x5-e50-b64-q-sp10.pt,Q,10,7,3,0
small-5x5x5-e50-b64-sarsa-sp10.pt,SARSA,10,7,3,0
small-5x5x5-e50-b64-q-sp50.pt,Q,50,18,32,0
small-5x5x5-e50-b64-sarsa-sp50.pt,SARSA,50,19,31,0
small-5x5x5-e50-b64-q-sp100.pt,Q,100,48,52,0
small-5x5x5-e50-b64-sarsa-sp100.pt,SARSA,100,47,53,0
