model,algorithm,games,wins_X,wins_O,draws
large-4x4-e100-b64-q-sp100.pt,Q,100,6,29,65
large-4x4-e100-b64-sarsa-sp100.pt,SARSA,100,13,14,73
large-4x4-e20-b128-q-sp10.pt,Q,10,0,5,5
large-4x4-e20-b128-sarsa-sp10.pt,SARSA,10,1,0,9
large-4x4-e20-b128-q-sp50.pt,Q,50,2,15,33
large-4x4-e20-b128-sarsa-sp50.pt,SARSA,50,4,14,32
large-4x4-e20-b128-q-sp100.pt,Q,100,33,21,46
large-4x4-e20-b128-sarsa-sp100.pt,SARSA,100,32,30,38
large-4x4-e20-b256-q-sp10.pt,Q,10,2,0,8
large-4x4-e20-b256-sarsa-sp10.pt,SARSA,10,0,0,10
large-4x4-e20-b256-q-sp50.pt,Q,50,5,11,34
large-4x4-e20-b256-sarsa-sp50.pt,SARSA,50,7,9,34
large-4x4-e20-b256-q-sp100.pt,Q,100,14,36,50
large-4x4-e20-b256-sarsa-sp100.pt,SARSA,100,26,21,53
large-4x4-e20-b64-q-sp10.pt,Q,10,0,1,9
large-4x4-e20-b64-sarsa-sp10.pt,SARSA,10,1,1,8
large-4x4-e20-b64-q-sp50.pt,Q,50,1,3,46
large-4x4-e20-b64-sarsa-sp50.pt,SARSA,50,2,5,43
large-4x4-e20-b64-q-sp100.pt,Q,100,21,22,57
large-4x4-e20-b64-sarsa-sp100.pt,SARSA,100,22,36,42
large-4x4-e50-b128-q-sp10.pt,Q,10,0,3,7
large-4x4-e50-b128-sarsa-sp10.pt,SARSA,10,0,2,8
large-4x4-e50-b128-q-sp50.pt,Q,50,2,20,28
large-4x4-e50-b128-sarsa-sp50.pt,SARSA,50,6,11,33
large-4x4-e50-b128-q-sp100.pt,Q,100,5,11,84
large-4x4-e50-b128-sarsa-sp100.pt,SARSA,100,26,33,41
large-4x4-e50-b256-q-sp10.pt,Q,10,1,4,5
large-4x4-e50-b256-sarsa-sp10.pt,SARSA,10,3,1,6
